"abstracts","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"Influence of otitis media on the correlation between rectal and auditory canal temperatures. In a noninterventional, controlled, single-blinded trial, 251 children were examined in a university hospital emergency department setting to study the influence of acute otitis media on the relationship between rectal and auditory canal temperatures. Bilateral auditory canal temperatures were measured using an infrared detection probe and microprocessor by nursing staff blinded to the presence of acute otitis media. Correlation between rectal and auditory canal temperatures in children with (r = .81) and without (r = .75) acute otitis media were not significantly different. There was no significant difference between infected (38.1 degrees C +/- 1.0 degree C) and uninfected ears (38.0 degrees C +/- 1.0 degree C) with unilateral otitis (n = 75). Although significantly higher than in uninfected children, auditory canal temperatures of children with acute otitis media reflected elevated rectal temperatures and not differences in auditory canal temperatures between ears.",120,"1","2024-04-24T20:32:49.481304Z",116,30.672,"5","2024-04-24T20:32:49.481304Z"
"Thickness of carotid artery atherosclerotic plaque and ischemic risk. Noninvasive duplex scanning of carotid artery atherosclerotic plaque was performed in 286 consecutive patients referred to a cerebrovascular diagnostic laboratory. The presence and thickness of such plaque in the region of the carotid bifurcation were examined for association with the degree of vessel stenosis, age, sex, smoking history, history of prior transient ischemic attack or stroke, and systemic manifestations of atherosclerotic disease. Atherosclerotic plaque thickness was positively correlated with degree of vessel stenosis (P less than 0.0001). Both parameters were independent predictors of cerebrovascular events but plaque thickness was a better predictor of prior transient ischemic attacks (P less than 0.05), and vessel stenosis was a better predictor of prior stroke (P less than 0.005). Patient age (P less than 0.001) and pack-years of cigarette use (P less than 0.001) were independent positive predictors of carotid atherosclerotic plaque thickness. The greatest effect of smoking and atherosclerotic plaque thickness was seen in heavy smokers younger than age 55. Both carotid artery plaque thickness and pack-years of smoking were significant independent predictors of other systemic manifestations of atherosclerotic disease (P less than 0.05). Such noninvasive scanning of carotid artery atherosclerotic plaque demonstrates the significant role of age and smoking in the progression of disease. It also suggests a significant role for carotid atherosclerotic artery plaque in the pathophysiology of cerebrovascular events, especially transient ischemic attacks, even prior to the production of a flow-limiting stenosis. Finally, noninvasive screening of carotid artery plaque may provide a useful marker for the patient at risk for systemic atherosclerotic disease and identify the patient for whom maximal atherosclerotic risk factor modification is needed.",121,"1","2024-04-24T20:33:32.547940Z",117,40.587,"4","2024-04-24T20:33:32.547940Z"
"Patient-related variables and restenosis after percutaneous transluminal coronary angioplasty--a report from the M-HEART Group. As part of a randomized prospective study designed to investigate the restenosis process after percutaneous transluminal coronary angioplasty (PTCA), the relation between patient-related variables and restenosis rate was examined. A total of 722 patients had successful PTCA. Angiographic follow-up was scheduled for 6 +/- 2 months after the procedure and achieved in 510 patients (71%), yielding 598 lesions for analysis. The overall restenosis rate was 40%. The rate was higher in patients undergoing early restudy for a clinical event than in those undergoing routinely scheduled follow-up restudy (71 vs 22%, p less than 0.0001). Age, sex, cigarette smoking history, diabetes mellitus and history of previous myocardial infarction were not associated with restenosis rate. Angina duration and severity before PTCA were also unrelated to restenosis rate. In summary, these variables, many of which have been previously implicated in restenosis, were not found to be predictors of restenosis. The decision to perform PTCA in individual patients should not be negatively influenced by the presence of these factors.",122,"1","2024-04-24T20:33:44.370415Z",118,9.853,"4","2024-04-24T20:33:44.370415Z"
"Acute urinary retention secondary to Herpes simplex meningitis. We report a case of acute urinary retention in a 24-year-old man with Herpes simplex meningitis without genital lesions. Since the differential diagnosis in young patients who present with acute urinary retention also includes multiple sclerosis, lumbosacral disk herniation, rheumatological disorders and drug intoxication, a thorough history and careful neurological examination are of paramount importance in distinguishing these syndromes. As part of a directed neurological evaluation prompt performance of lumbar puncture is indicated; a lymphocytic pleocytosis is suggestive of herpetic meningitis. Culture of Herpes simplex virus from the cerebrospinal fluid should be attempted. We recommend conservative management only, typically with intermittent catheterization, since bladder function usually normalizes within 10 to 14 days.",123,"1","2024-04-24T20:34:51.700313Z",119,27.976,"5","2024-04-24T20:34:51.700313Z"
"Progressive inflammatory lesions of the brain parenchyma in localized scleroderma of the head. A patient with localized scleroderma of the head, uveitis, and Raynaud's phenomenon presented with generalized seizures, spastic hemiparesis, and local IgG production in the cerebrospinal fluid. Magnetic resonance imaging revealed progressive cortical and subcortical brain parenchymal lesions mainly adjacent to the cutaneous and bony lesions and probably of inflammatory origin.",124,"1","2024-04-24T20:35:06.211735Z",120,21.924,"3","2024-04-24T20:37:01.492401Z"
"Electroencephalographic changes during brief cardiac arrest in humans. Slowing and attenuation of the dominant frequency of the electroencephalogram (EEG) are changes commonly used to detect cerebral ischemia. To assess the validity of this method, the EEGs recorded during 93 episodes of circulatory arrest in ten normothermic, lightly anesthetized patients undergoing implantation of automatic internal cardioverting defibrillators (AICDs) were visually inspected for change. The number of events recorded for each patient varied from 5 to 18 and was a function of the duration and success of AICD testing in each patient. In 82 of 93 (88%) episodes, EEG changes were identified, and occurred an average of 10.2 s after the last normal heart beat. Of these 82, 67 (82%) illustrated slowing and attenuation. However, 15 (18%) of the hemodynamic events showed changes not previously described as indicative of cerebral ischemia: 6 (7%) showed a loss of delta-wave activity and 9 (11%) showed an increase in the amplitude of theta activity. Time to onset of these unusual changes (10.6 and 9.2 s, respectively) was not significantly different from that for EEG slowing and attenuation (10.2 s). Five of the ten subjects showed more than one pattern of EEG change. There was no significant difference in the time to onset of EEG change among individual patients, and neither were there differences in patterns of change associated with particular anesthetic agents. These results indicate that in normothermic, lightly anesthetized individuals, cerebral ischemia may cause changes in EEG pattern other than slowing and attenuation of dominant frequencies. These alternative patterns should be recognized as indicative of cerebral ischemia when intraoperative EEG monitoring is performed.",125,"1","2024-04-24T20:35:38.149463Z",121,35.76,"3","2024-04-24T20:37:09.247276Z"
"Timing of corticosteroid treatment. Effect of lung lymph dynamics in air injury in awake sheep. In paired experiments, we studied the effects of high-dose methylprednisolone on the acute pulmonary injury caused by 4 h of venous air embolization in 19 chronically instrumented, unanesthetized sheep with lung lymph fistulas. We compared the effect of methylprednisolone (30 mg/kg intravenous bolus) given before embolization, early (1 H) in the course of embolization, late (3 h) in the course of embolization, or after embolization (at the beginning of the recovery period). We measured pulmonary hemodynamics and lymph dynamics. In six sheep we also fixed lung tissue for semiquantitative histology, and in some we measured leukocyte concentrations in blood and in pulmonary lymph. Methylprednisolone did not significantly affect pulmonary hemodynamics but it largely prevented lung injury when it was given before embolization. It also lessened the degree of lung injury when it was given during embolization, although this effect became less marked as treatment was delayed. Methylprednisolone had no effect on lung injury when given after embolization was completed (4 h). We found fewer leukocytes attached to air emboli and fewer endothelial cell gaps in the lungs of sheep given methylprednisolone as prophylaxis. Leukocyte counts were lower in lung lymph and higher in the circulating blood of methylprednisolone-treated sheep. We conclude that methylprednisolone has a preventive effect on air embolism lung injury, such that its effect is greater when given earlier during the development of injury.",126,"1","2024-04-24T20:36:03.647258Z",122,23.857,"5","2024-04-24T20:36:03.647258Z"
"Ventricular free-wall rupture after myocardial infarction. Treatment and outcome. Ventricular free-wall rupture remains one of the leading causes of death after myocardial infarction (MI). With increased abilities for diagnosis and resuscitation techniques, surgical correction of free-wall myocardial defects resulting from ischemia and necrosis may become a simple modality of treatment, resulting in improvement of the survival rate. We are reporting our experience with four patients with ventricular free-wall rupture after MI, with emphasis on clinical presentation, diagnosis, and surgical management.",127,"1","2024-04-24T20:36:28.892558Z",123,23.845,"4","2024-04-24T20:36:28.892558Z"
"Splenic artery aneurysm rupture [published erratum appears in Am J Emerg Med 1991 Mar;9(2):205] Splenic artery aneurysms are rare and usually asymptomatic. However, rupture can produce severe abdominal pain and prove lethal. Two cases of ruptured splenic artery aneurysm are presented. In one, cocaine injection occurred immediately prior to the onset of symptoms and may have precipitated the event.",128,"1","2024-04-24T20:38:14.337679Z",124,40.875,"4","2024-04-24T20:38:14.337679Z"
"Cranial nerve palsy in childhood acute lymphoblastic leukemia and non-Hodgkin's lymphoma. Forty-five children with acute lymphoblastic leukemia or non-Hodgkin's lymphoma had cranial nerve palsy (CNP) as a complication of their disease. Twenty-two of these children had CNP initially and 23, at relapse, with or without previous hematologic relapse. Only one of the 23 patients with CNP at relapse was a long-term survivor. In contrast, 11 of the 22 children who had CNP initially survived in remission for 3+ months to 13+ years. Two factors are associated with an improved outcome for patients with CNP at diagnosis: treatment after 1979 (P less than 0.004) and male gender (P less than 0.01). Patients who received radiation therapy fared better than those for whom radiation was not given (disease-free survival at 2 years 53% versus 29%). The authors conclude that CNP signifies an aggressive or advanced disease requiring intensive systemic chemotherapy and that the role of irradiation should be examined for this group of patients.",129,"1","2024-04-24T20:38:26.455377Z",125,10.499,"3","2024-04-24T20:38:26.455377Z"
"Comparative studies of DU-PAN-2, carcinoembryonic antigen, and CA19-9 in the serum and bile of patients with pancreatic and biliary tract diseases: evaluation of the influence of obstructive jaundice. The levels of DU-PAN-2 antigen, carcinoembryonic antigen, and CA19-9 in serum and bile of patients with pancreatic and biliary tract diseases were measured. The sensitivities (true positive) of DU-PAN-2 in serum to pancreatic carcinoma (64%) and to biliary tract carcinoma (62%) were similar to those of CA19-9 in serum (69% and 72%, respectively). Nine of 18 (50%) patients with CA19-9-negative pancreatic carcinoma tested positive for DU-PAN-2. The sensitivities of CEA to pancreatic carcinoma (56%) and to biliary tract carcinoma (52%) were lowest. The measurement of these antigens in bile seemed to be of little diagnostic value in differentiating between malignant and benign diseases. False positives of these three assays occurred frequently in patients with benign pancreatic or biliary tract disease coupled with obstructive jaundice. After percutaneous transhepatic biliary drainage, serum DU-PAN-2 and CA19-9 levels returned to normal ranges in patients with benign diseases, but not in patients with carcinoma of the pancreas or of the biliary tract. Serum CA19-9 and DU-PAN-2 antigens are useful tumor markers for pancreatic and biliary tract carcinomas. Longitudinal assays of these antigens may be useful for the differential diagnosis of patients with obstructive jaundice.",130,"1","2024-04-24T20:39:05.965355Z",126,38.256,"2","2024-04-24T20:39:05.965355Z"
"Therapy of persistent human papillomavirus disease with two different interferon species. Consensus interferon and interferon alfa-2a were used to treat patients with persistent human papillomavirus disease. Thirty-one patients were treated with either consensus interferon or a placebo (25 received active drug and 6 received placebo), and 24 patients were treated with interferon alfa-2a. Of the 25 patients who received consensus interferon, 19 (76%) showed either complete or partial clearing of condyloma 10 and 16 weeks after initiation of therapy; in 22 of the 24 patients (91%) who received interferon alfa-2a, clearing was demonstrated after a similar time period. Thirty of 34 patients who had no response or a partial response requested additional therapy, and 20 of these patients treated with adjunctive therapy had a complete response. The results of this study support the efficacy of both interferons in the treatment of overt condyloma acuminatum and suggest that interferon enhances subsequent adjunctive therapy.",131,"1","2024-04-24T20:39:19.856227Z",127,11.551,"5","2024-04-24T20:39:19.856227Z"
"Abnormal growth patterns and adult short stature in 115 long-term survivors of childhood leukemia. Significant growth retardation was found in 115 survivors of childhood acute lymphoblastic leukemia (ALL) who had completed their growth. These children were diagnosed before 12 years of age and treated on four protocols in a single institution; all received either cranial (n = 78) or craniospinal (n = 37) prophylactic irradiation. Patients' heights at diagnosis were within expected ranges, but final heights were greater than or equal to 1 SD below population means in 74% of cases and greater than or equal to 2 SD in 37%. Effects on growth were more pronounced for children who had received craniospinal irradiation, but decrements were also significant in the cranial irradiation group, with adult heights greater than or equal to 2 SD below population norms in 32%. Growth retardation was significantly greater (P less than .0001) in children who had earlier disease onset. Growth deceleration occurred not only during chemotherapy but during a later period that followed an interval of improved growth in many cases. Thus, late decrements in growth may be missed in studies that do not follow patients until they have attained final heights. These findings indicate that abnormally short stature among survivors of ALL merits further clinical and research attention.",132,"1","2024-04-24T20:39:43.490904Z",128,22.265,"1","2024-04-24T20:39:43.490904Z"
"Patterns of neuropsychological impairment after severe blunt head injury. A consecutive series of 100 subjects with severe blunt head injuries was followed up 6 years after trauma. Neuropsychological test performances of 82 subjects and of a noninjured control group were analyzed by two principal components analyses (PCAs). Each PCA extracted 15 factors relating to a range of cognitive impairments, as well as neuropsychological features consistent with posttraumatic personality changes. Measures identified by the PCAs were applied to 85 head-injured subjects in the series to examine the incidence of impairment in four neuropsychological areas: disorders of learning and memory, neuropsychological features consistent with posttraumatic personality change, slowness in rate of information processing, and a range of basic neuropsychological skills. Overall, impairments occurred in 70% of the series. Disorders of learning and memory were the most common type of deficit (56.5%), with disturbances in basic neuropsychological skills the least frequent (16.5%). Variability among subjects with respect to the types and combinations of neuropsychological impairments was a characteristic feature of this clinical group, but the largest proportion (one-third) demonstrated isolated impairments. The implications of the incidence and selectivity of neuropsychological impairments are discussed.",133,"1","2024-04-24T20:39:56.368188Z",129,11.33,"3","2024-04-24T20:39:56.368188Z"
"Gastro-oesophageal reflux during elective laparoscopy. An oesophageal pH electrode was used to record gastro-oesophageal reflux in 73 women who had elective laparoscopy for various gynaecological procedures. No refluxes were recorded during the 63 procedures from which results could be analysed; the upper 95% confidence limit from this observation is 3 in 63 (4.8%). Two of the excluded women refluxed during episodes of hiccough that occurred shortly after induction of anaesthesia. Tracheal intubation may be required during laparoscopy, although the need to protect against the possibility of aspiration of gastric contents may not be a valid reason unless, with the same logic, it is suggested that all patients who hiccough should be intubated.",134,"1","2024-04-24T20:40:09.699160Z",130,12.062,"2","2024-04-24T20:40:09.699160Z"
"Ten years' experience with an elemental diet in the management of Crohn's disease. The immediate and longterm outcome of treating patients with acute Crohn's disease with an elemental diet was studied retrospectively. Successful diet induced remission was achieved in 96 of 113 patients (85%) regardless of age, sex, site or severity of disease, or associated complications of strictures, fistula, or perianal disease. Treatment was unsuccessful in 17 patients (15%), but there were no features at the outset of treatment that distinguished these patients from those who had successful remission. The longterm outcome of treatment was assessed over a five year period by analysis of life tables and survival curves. Twenty two per cent of the patients relapsed within six months of treatment and thereafter the annual relapse rate was 8-10%. Patients with disease complicated by fistula or perianal involvement had early relapse, approaching 100% for the latter. A further retrospective comparison of longterm outcome of diet v steroid induced remissions showed no significant difference in the relapse rates between the two groups at one, three, and five years.",135,"1","2024-04-24T20:40:21.021534Z",131,9.791,"2","2024-04-24T20:40:21.021534Z"
"Sarcoid reaction mimicking intrathoracic dissemination of testicular cancer. The close observation of patients treated for testicular cancer led to the suspicion of intrathoracic and/or mediastinal metastases on radiologic examination in a number of patients without other evidence of relapse. This report presents two patients with combined seminomatous and nonseminomatous germ cell tumors with isolated sarcoid reactions of hilar and interlobular lymph nodes, detected concomitant with diagnosis and 12 months after diagnosis, respectively. Histologic examination appears to be imperative in these cases to avoid unnecessary chemotherapy.",136,"1","2024-04-24T20:40:42.323914Z",132,18.209,"1","2024-04-24T20:40:42.323914Z"
"Adenocarcinoma arising in a foregut cyst of the mediastinum. A case of malignant transformation in a mediastinal cyst of the esophageal reduplication type is presented. The cyst had been recognized 39 years previously, but remained asymptomatic until sudden growth occurred. It was resected totally from the esophagus and the patient recovered well. A review of the literature showed that malignancy in mediastinal foregut cysts is extremely rare.",137,"1","2024-04-24T20:41:11.479796Z",133,27.622,"1","2024-04-24T20:41:11.479796Z"
